dataset	no	nbSentences	elman	perf
UD_Czech	41	5124	1	0.99970481
UD_Czech	42	5246	1	0.99978421
UD_Czech	43	5368	1	0.99977301
UD_Czech	44	5490	1	0.99974655
UD_Czech	45	5612	1	0.99972212
UD_Czech	46	5734	1	0.99968547
UD_Czech	47	5856	1	0.99973026
UD_Czech	48	5978	1	0.99972313
UD_Czech	49	6100	1	0.99968547
UD_Czech	50	6222	1	0.99979744
UD_Czech	51	6344	1	0.99965392
UD_Czech	52	6466	1	0.99969769
UD_Czech	53	6588	1	0.99975469
UD_Czech	54	6710	1	0.99971296
UD_Czech	55	6832	1	0.99975978
UD_Czech	56	6954	1	0.99964476
UD_Czech	57	7076	1	0.99966817
UD_Czech	58	7198	1	0.99970583
UD_Czech	59	7320	1	0.99972924
UD_Czech	60	7442	1	0.99972008
UD_Czech	61	7564	1	0.99975367
UD_Czech	62	7686	1	0.99978014
UD_Czech	63	7808	1	0.99971906
UD_Czech	64	7930	1	0.99974146
UD_Czech	65	8052	1	0.99971805
UD_Czech	66	8174	1	0.99970379
UD_Czech	67	8296	1	0.99972110
UD_Czech	68	8418	1	0.99979744
UD_Czech	69	8540	1	0.99965595
UD_Czech	70	8662	1	0.99974451
UD_Czech	71	8784	1	0.99973840
UD_Czech	72	8906	1	0.99972721
UD_Czech	73	9028	1	0.99973230
UD_Czech	74	9150	1	0.99964781
UD_Czech	75	9272	1	0.99974756
UD_Czech	76	9394	1	0.99975469
UD_Czech	77	9516	1	0.99976385
UD_Czech	78	9638	1	0.99972415
UD_Czech	79	9760	1	0.99979948
UD_Czech	80	9882	1	0.99975978
UD_Czech	81	10004	1	0.99977301
UD_Czech	82	10126	1	0.99988803
UD_Czech	83	10248	1	0.99976894
UD_Czech	84	10370	1	0.99985241
UD_Czech	85	10492	1	0.99978930
UD_Czech	86	10614	1	0.99981576
UD_Czech	87	10736	1	0.99970278
UD_Czech	88	10858	1	0.99973433
UD_Czech	89	10980	1	0.99983103
UD_Czech	90	11102	1	0.99983816
UD_Czech	91	11224	1	0.99973637
UD_Czech	92	11346	1	0.99966003
UD_Czech	93	11468	1	0.99979540
UD_Czech	94	11590	1	0.99983917
UD_Czech	95	11712	1	0.99986971
UD_Czech	96	11834	1	0.99986869
UD_Czech	97	11956	1	0.99985648
UD_Czech	98	12078	1	0.99985139
UD_Czech	99	12200	1	0.99985241
UD_Dutch	00	122	1	0.99919398
UD_Dutch	01	244	1	0.99957418
UD_Dutch	02	366	1	0.99940689
UD_Dutch	03	488	1	0.99948293
UD_Dutch	04	610	1	0.99930043
UD_Dutch	05	732	1	0.99919398
UD_Dutch	06	854	1	0.99951334
UD_Dutch	07	976	1	0.99937647
UD_Dutch	08	1098	1	0.99919398
UD_Dutch	09	1220	1	0.99927002
UD_Dutch	10	1342	1	0.99910273
UD_Dutch	11	1464	1	0.99936127
UD_Dutch	12	1586	1	0.99882899
UD_Dutch	13	1708	1	0.99943731
UD_Dutch	14	1830	1	0.99940689
UD_Dutch	15	1952	1	0.99945251
UD_Dutch	16	2074	1	0.99911794
UD_Dutch	17	2196	1	0.99922439
UD_Dutch	18	2318	1	0.99861607
UD_Dutch	19	2440	1	0.99901148
UD_Dutch	20	2562	1	0.99873774
UD_Dutch	21	2684	1	0.99907231
UD_Dutch	22	2806	1	0.99876815
UD_Dutch	23	2928	1	0.99861607
UD_Dutch	24	3050	1	0.99885940
UD_Dutch	25	3172	1	0.99879857
UD_Dutch	26	3294	1	0.99895065
UD_Dutch	27	3416	1	0.99879857
UD_Dutch	28	3538	1	0.99867691
UD_Dutch	29	3660	1	0.99869211
UD_Dutch	30	3782	1	0.99857045
UD_Dutch	31	3904	1	0.99867691
UD_Dutch	32	4026	1	0.99875295
UD_Dutch	33	4148	1	0.99914835
UD_Dutch	34	4270	1	0.99860087
UD_Dutch	35	4392	1	0.99879857
UD_Dutch	36	4514	1	0.99857045
UD_Dutch	37	4636	1	0.99881378
UD_Dutch	38	4758	1	0.99855524
UD_Dutch	39	4880	1	0.99841837
UD_Dutch	40	5002	1	0.99858566
UD_Dutch	41	5124	1	0.99864649
UD_Dutch	42	5246	1	0.99854003
UD_Dutch	43	5368	1	0.99864649
UD_Dutch	44	5490	1	0.99875295
UD_Dutch	45	5612	1	0.99855524
UD_Dutch	46	5734	1	0.99866170
UD_Dutch	47	5856	1	0.99861607
UD_Dutch	48	5978	1	0.99855524
UD_Dutch	49	6100	1	0.99850962
UD_Dutch	50	6222	1	0.99869211
UD_Dutch	51	6344	1	0.99876815
UD_Dutch	52	6466	1	0.99855524
UD_Dutch	53	6588	1	0.99869211
UD_Dutch	54	6710	1	0.99854003
UD_Dutch	55	6832	1	0.99864649
UD_Dutch	56	6954	1	0.99861607
UD_Dutch	57	7076	1	0.99847920
UD_Dutch	58	7198	1	0.99866170
UD_Dutch	59	7320	1	0.99864649
UD_Dutch	60	7442	1	0.99857045
UD_Dutch	61	7564	1	0.99872253
UD_Dutch	62	7686	1	0.99850962
UD_Dutch	63	7808	1	0.99863128
UD_Dutch	64	7930	1	0.99867691
UD_Dutch	65	8052	1	0.99864649
UD_Dutch	66	8174	1	0.99866170
UD_Dutch	67	8296	1	0.99863128
UD_Dutch	68	8418	1	0.99860087
UD_Dutch	69	8540	1	0.99875295
UD_Dutch	70	8662	1	0.99864649
UD_Dutch	71	8784	1	0.99878336
UD_Dutch	72	8906	1	0.99855524
UD_Dutch	73	9028	1	0.99864649
UD_Dutch	74	9150	1	0.99866170
UD_Dutch	75	9272	1	0.99872253
UD_Dutch	76	9394	1	0.99858566
UD_Dutch	77	9516	1	0.99847920
UD_Dutch	78	9638	1	0.99872253
